"Date","Name","Year","Letterboxd.URI","Rating","Rewatch","Tags","Watched.Date"
"2023-01-04","The Eyes of My Mother",2016,"https://boxd.it/3DAn93",4,"","","2023-01-01"
"2023-01-04","Shaun the Sheep Movie",2015,"https://boxd.it/3DACdp",5,"","","2023-01-01"
"2023-01-05","A Shaun the Sheep Movie: Farmageddon",2019,"https://boxd.it/3E0iZZ",5,"","","2023-01-03"
"2023-01-06","Babylon",2022,"https://boxd.it/3EyRXH",4,"","","2023-01-05"
"2023-01-08","M3GAN",2022,"https://boxd.it/3Fqntl",4,"","","2023-01-07"
"2023-01-18","Nope",2022,"https://boxd.it/3IUtbz",5,"Yes","","2023-01-17"
"2023-01-25","Candyman",1992,"https://boxd.it/3L4xzN",5,"Yes","","2023-01-24"
"2023-02-02","City of the Living Dead",1980,"https://boxd.it/3NB3CL",4,"","","2023-02-01"
"2023-02-11","The Changeling",1980,"https://boxd.it/3QbsVX",4,"","","2023-02-10"
"2023-02-15","My Bloody Valentine",1981,"https://boxd.it/3Rh4iD",5,"Yes","","2023-02-14"
"2023-02-20","The Brood",1979,"https://boxd.it/3SLFw7",4,"","","2023-02-19"
"2023-02-23","Titanic",1997,"https://boxd.it/3Tv6AZ",5,"Yes","","2023-02-22"
"2023-02-24","Killer Klowns from Outer Space",1988,"https://boxd.it/3TQ70F",5,"","","2023-02-23"
"2023-03-18","Carrie",1976,"https://boxd.it/3ZSbP1",5,"","","2023-03-17"
"2023-03-21","Eraserhead",1977,"https://boxd.it/40N1OV",5,"","","2023-03-20"
"2023-03-22","Us",2019,"https://boxd.it/411PR9",5,"Yes","","2023-03-21"
"2023-03-24","American Mary",2012,"https://boxd.it/41wMcz",4,"","","2023-03-22"
"2023-03-24","I Like Movies",2022,"https://boxd.it/41wuhL",5,"","","2023-03-23"
"2023-03-29","Pulse",2001,"https://boxd.it/42RIz1",4,"","","2023-03-28"
"2023-04-05","Enemy",2013,"https://boxd.it/44Jtlb",4,"","","2023-04-04"
"2023-04-10","Donnie Darko",2001,"https://boxd.it/46h4BZ",5,"Yes","","2023-04-09"
"2023-04-11","Good Will Hunting",1997,"https://boxd.it/46BI3X",5,"Yes","","2023-04-10"
"2023-04-21","Evil Dead Rise",2023,"https://boxd.it/498mID",4,"","","2023-04-20"
"2023-04-23","WolfCop",2014,"https://boxd.it/49Jn8b",4,"","","2023-04-21"
"2023-04-25","Ferris Bueller's Day Off",1986,"https://boxd.it/4aiL0P",5,"Yes","","2023-04-24"
"2023-04-27","Suzume",2022,"https://boxd.it/4aI8GT",4,"","","2023-04-26"
"2023-04-28","Her",2013,"https://boxd.it/4b0z81",4.5,"","","2023-04-27"
"2023-04-29","Midsommar",2019,"https://boxd.it/4bedt5",5,"Yes","","2023-04-28"
"2023-05-02","Cube",1997,"https://boxd.it/4caCy1",4,"","","2023-05-01"
"2023-05-16","Sherlock Jr.",1924,"https://boxd.it/4fLSsz",5,"","","2023-05-15"
"2023-05-21","Safety Last!",1923,"https://boxd.it/4gWgdR",4,"","","2023-05-20"
"2023-05-22","Nosferatu",1922,"https://boxd.it/4hfiGz",5,"Yes","","2023-05-21"
"2023-05-29","Killer Klowns from Outer Space",1988,"https://boxd.it/4iWd33",5,"Yes","","2023-05-28"
"2023-06-09","Booksmart",2019,"https://boxd.it/4lSpij",5,"Yes","","2023-06-08"
"2023-06-11","The Innocents",1961,"https://boxd.it/4mepf9",4,"","","2023-06-10"
"2023-06-25","WolfCop",2014,"https://boxd.it/4qkyKX",4,"Yes","","2023-06-11"
"2023-06-25","Strange Brew",1983,"https://boxd.it/4qkClR",5,"Yes","","2023-06-12"
"2023-06-25","Matilda",1996,"https://boxd.it/4qkrCn",5,"Yes","","2023-06-13"
"2023-06-20","Raging Bull",1980,"https://boxd.it/4oTeIz",4,"","","2023-06-14"
"2023-06-25","The Fly",1986,"https://boxd.it/4qkgeT",4,"Yes","","2023-06-24"
"2023-07-01","The Texas Chain Saw Massacre",1974,"https://boxd.it/4rXqPH",5,"Yes","","2023-06-30"
"2023-07-13","Interstellar",2014,"https://boxd.it/4vIUNd",5,"","","2023-07-12"
"2023-07-20","Barbie",2023,"https://boxd.it/4xSFXv",5,"","","2023-07-19"
"2023-07-21","Oppenheimer",2023,"https://boxd.it/4ycI8b",4.5,"","","2023-07-20"
"2023-07-29","Talk to Me",2022,"https://boxd.it/4BsaLn",5,"","","2023-07-28"
"2023-08-02","Barbie",2023,"https://boxd.it/4D3zm1",5,"Yes","","2023-07-29"
"2023-08-09","The Exorcist",1973,"https://boxd.it/4FufOL",5,"Yes","","2023-08-08"
"2023-08-10","Bug",2006,"https://boxd.it/4FOiVF",4,"","","2023-08-09"
"2023-08-13","Who Framed Roger Rabbit",1988,"https://boxd.it/4GMCsD",4,"","","2023-08-11"
"2023-08-14","Enter the Dragon",1973,"https://boxd.it/4H99Cv",4,"","","2023-08-13"
"2023-08-19","Dune",2021,"https://boxd.it/4IAy21",5,"","","2023-08-15"
"2023-08-19","The Texas Chain Saw Massacre",1974,"https://boxd.it/4IAA8b",5,"Yes","","2023-08-18"
"2023-08-22","Whiplash",2014,"https://boxd.it/4JHYbr",4,"","","2023-08-21"
"2023-08-26","Psycho",1960,"https://boxd.it/4KOQrT",5,"Yes","","2023-08-25"
"2023-08-28","Rear Window",1954,"https://boxd.it/4Lhocz",4,"Yes","","2023-08-26"
"2023-08-30","Jurassic Park",1993,"https://boxd.it/4M7JX1",4.5,"Yes","","2023-08-29"
"2023-09-01","Shiva Baby",2020,"https://boxd.it/4Mz1AD",4,"","","2023-08-31"
"2023-09-04","Black Girl",1966,"https://boxd.it/4NDGq7",4,"","","2023-09-03"
"2023-09-05","The Seventh Seal",1957,"https://boxd.it/4NWArL",5,"","","2023-09-04"
"2023-09-09","Poltergeist",1982,"https://boxd.it/4OZQHv",5,"Yes","","2023-09-08"
"2023-09-12","Fresh",2022,"https://boxd.it/4PXVkB",4,"","","2023-09-11"
"2023-09-20","Platoon",1986,"https://boxd.it/4SbOed",4,"","","2023-09-19"
"2023-10-01","Halloween 4: The Return of Michael Myers",1988,"https://boxd.it/4VcGKp",4,"","","2023-09-22"
"2023-10-07","Nocturnal Animals",2016,"https://boxd.it/4XaK9h",4,"","","2023-10-04"
"2023-10-09","The Exorcist",1973,"https://boxd.it/4XVJo5",5,"Yes","","2023-10-04"
"2023-10-09","BlacKkKlansman",2018,"https://boxd.it/4XYdJh",4,"Yes","","2023-10-08"
"2023-10-20","ParaNorman",2012,"https://boxd.it/51wJJ9",5,"","","2023-10-14"
"2023-10-17","E.T. the Extra-Terrestrial",1982,"https://boxd.it/50ybTp",5,"Yes","","2023-10-15"
"2023-10-20","It's the Great Pumpkin, Charlie Brown",1966,"https://boxd.it/51wNPl",5,"Yes","","2023-10-19"
"2023-10-20","Killers of the Flower Moon",2023,"https://boxd.it/51AOib",4,"","","2023-10-19"
"2023-10-22","Scooby-Doo 2: Monsters Unleashed",2004,"https://boxd.it/52foRr",5,"Yes","","2023-10-21"
"2023-10-25","Corpse Bride",2005,"https://boxd.it/533ZGF",5,"Yes","","2023-10-23"
"2023-10-26","Monster House",2006,"https://boxd.it/53wsVb",4,"Yes","","2023-10-25"
"2023-10-27","The Haunting",1963,"https://boxd.it/53Rxmn",5,"Yes","","2023-10-26"
"2023-10-29","Nosferatu",1922,"https://boxd.it/54Bcrj",5,"Yes","","2023-10-28"
"2023-11-02","Frankenstein",1931,"https://boxd.it/55RVDv",5,"Yes","","2023-10-31"
"2023-11-02","Michael Jackson's Thriller",1983,"https://boxd.it/55RWsD",5,"Yes","","2023-10-31"
"2023-11-12","The Killer",2023,"https://boxd.it/596m4x",4,"","","2023-11-11"
"2023-11-13","Fight Club",1999,"https://boxd.it/59zDZN",4,"Yes","","2023-11-12"
"2023-11-18","Fair Play",2023,"https://boxd.it/5b8Sf5",4,"","","2023-11-17"
"2023-11-23","Napoleon",2023,"https://boxd.it/5cD5Jh",4,"","","2023-11-21"
"2023-11-26","The Hurt Locker",2008,"https://boxd.it/5dD7AP",4,"","","2023-11-24"
"2023-12-09","Love Actually",2003,"https://boxd.it/5iepzv",5,"Yes","","2023-12-08"
"2023-12-18","The Polar Express",2004,"https://boxd.it/5lxq8P",5,"Yes","","2023-12-17"
"2023-12-23","The Iron Claw",2023,"https://boxd.it/5nqSOD",4,"","","2023-12-22"
"2023-12-27","It's a Wonderful Life",1946,"https://boxd.it/5paJeH",5,"","","2023-12-25"
"2023-12-30","The Deer Hunter",1978,"https://boxd.it/5ri959",4,"","","2023-12-29"
"2024-01-06","Oldboy",2003,"https://boxd.it/5vN5hX",4,"","","2024-01-05"
"2024-01-12","Poor Things",2023,"https://boxd.it/5zn3Op",4,"","","2024-01-11"
"2024-01-14","The Holdovers",2023,"https://boxd.it/5Azz8D",4,"","","2024-01-13"
"2024-01-21","American Fiction",2023,"https://boxd.it/5DWp2N",4,"","","2024-01-20"
"2024-01-29","The Zone of Interest",2023,"https://boxd.it/5I6rU9",4,"","","2024-01-28"
"2024-02-04","Come and See",1985,"https://boxd.it/5L47uN",4,"","","2024-02-03"
"2024-02-11","Sicario",2015,"https://boxd.it/5NVsol",4,"","","2024-02-08"
"2024-02-12","Anatomy of a Fall",2023,"https://boxd.it/5OwqGr",4,"","","2024-02-10"
"2024-02-12","El Conde",2023,"https://boxd.it/5OFseR",4,"","","2024-02-11"
"2024-02-13","In the Mood for Love",2000,"https://boxd.it/5P6HBP",4.5,"","","2024-02-12"
"2024-02-15","My Bloody Valentine",1981,"https://boxd.it/5PUZwD",5,"Yes","","2024-02-14"
"2024-02-16","Incendies",2010,"https://boxd.it/5QlRmf",5,"","","2024-02-15"
"2024-02-19","Eighth Grade",2018,"https://boxd.it/5RMwpb",4,"","","2024-02-17"
"2024-02-26","Dune: Part Two",2024,"https://boxd.it/5VavTJ",5,"","","2024-02-25"
"2024-03-03","mid90s",2018,"https://boxd.it/5XIA0b",4,"","","2024-03-02"
"2024-03-10","Perfect Days",2023,"https://boxd.it/60UjPd",4,"","","2024-03-09"
"2024-04-03","The Omen",1976,"https://boxd.it/6cuLYD",5,"Yes","","2024-04-02"
"2024-04-12","Civil War",2024,"https://boxd.it/6ga2or",5,"","","2024-04-11"
"2024-04-27","12 Angry Men",1957,"https://boxd.it/6m3lDF",4.5,"","","2024-04-26"
"2024-05-05","The Omen",1976,"https://boxd.it/6pDuZT",5,"Yes","","2024-05-04"
"2024-05-20","Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,"https://boxd.it/6vDhan",4.5,"","","2024-05-18"
"2024-05-21","The Shining",1980,"https://boxd.it/6w4Ued",5,"Yes","","2024-05-20"
"2024-05-22","The Birds",1963,"https://boxd.it/6wppSt",5,"Yes","","2024-05-21"
"2024-05-27","The Lost Boys",1987,"https://boxd.it/6yzsXp",4,"","","2024-05-26"
"2024-07-06","Problemista",2023,"https://boxd.it/6OD1Hh",4,"","","2024-07-05"
"2024-07-07","All That Jazz",1979,"https://boxd.it/6P4Ltf",4,"","","2024-07-06"
"2024-07-12","Longlegs",2024,"https://boxd.it/6Rd8Un",4,"","","2024-07-11"
"2024-07-15","Persona",1966,"https://boxd.it/6SI5Bt",4,"","","2024-07-14"
"2024-07-30","Porco Rosso",1992,"https://boxd.it/6ZAubH",4,"Yes","","2024-07-29"
"2024-08-15","Alien",1979,"https://boxd.it/76cx1P",4.5,"Yes","","2024-08-13"
"2024-08-16","Alien: Romulus",2024,"https://boxd.it/76SGkZ",4,"","","2024-08-15"
"2024-08-19","The Texas Chain Saw Massacre",1974,"https://boxd.it/788JU3",5,"Yes","","2024-08-18"
"2024-08-23","Hunt for the Wilderpeople",2016,"https://boxd.it/7a6YEX",4,"","","2024-08-21"
"2024-08-25","Coraline",2009,"https://boxd.it/7bayVv",4,"Yes","","2024-08-24"
"2024-09-05","Mandy",2018,"https://boxd.it/7ghzfT",4,"Yes","","2024-09-04"
"2024-09-14","Trick 'r Treat",2007,"https://boxd.it/7kbZUH",4,"Yes","","2024-09-13"
"2024-09-17","Frankenweenie",2012,"https://boxd.it/7lojVD",4,"Yes","","2024-09-14"
"2024-09-25","The Substance",2024,"https://boxd.it/7oZ9jP",4.5,"","","2024-09-24"
"2024-10-04","Mandy",2018,"https://boxd.it/7t5LI7",4,"Yes","","2024-10-03"
"2024-10-15","Cure",1997,"https://boxd.it/7yHjbZ",4,"","","2024-10-14"
"2024-10-23","The Woman in Black",1989,"https://boxd.it/7Cqyml",5,"","","2024-10-20"
"2024-10-25","Uzumaki",2024,"https://boxd.it/7DE0KP",4,"","","2024-10-24"
"2024-10-28","Monster House",2006,"https://boxd.it/7F3f57",4.5,"Yes","","2024-10-26"
"2024-10-28","Frankenstein",1931,"https://boxd.it/7F3kDt",5,"Yes","","2024-10-26"
"2024-11-01","An American Werewolf in London",1981,"https://boxd.it/7HiZIH",4.5,"","","2024-10-28"
"2024-11-01","Wallace & Gromit: The Curse of the Were-Rabbit",2005,"https://boxd.it/7HiLiv",4,"Yes","","2024-10-31"
"2024-11-02","It's the Great Pumpkin, Charlie Brown",1966,"https://boxd.it/7HA7VN",5,"Yes","","2024-10-31"
"2024-11-02","Michael Jackson's Thriller",1983,"https://boxd.it/7HAcqb",5,"Yes","","2024-10-31"
"2024-11-12","Bullet Train",2022,"https://boxd.it/7MJKaf",4,"Yes","","2024-11-07"
"2024-11-12","Kwaidan",1964,"https://boxd.it/7MJLYZ",4.5,"","","2024-11-09"
"2024-11-12","Anora",2024,"https://boxd.it/7MJN7N",4,"","","2024-11-10"
"2024-11-17","Here",2024,"https://boxd.it/7PjaED",4,"","","2024-11-16"
"2024-11-19","Gladiator",2000,"https://boxd.it/7Qfk1H",4,"Yes","","2024-11-17"
"2024-11-20","Conclave",2024,"https://boxd.it/7QXP4v",4.5,"","","2024-11-19"
"2024-11-28","Cléo from 5 to 7",1962,"https://boxd.it/7V38lr",4,"","","2024-11-27"
"2024-12-01","Wicked",2024,"https://boxd.it/7Wy0zL",4,"","","2024-11-30"
"2024-12-10","Children of Men",2006,"https://boxd.it/80KNmL",5,"","","2024-12-08"
"2024-12-15","The Witch",2015,"https://boxd.it/83z7XF",4,"Yes","","2024-12-13"
"2024-12-18","The Northman",2022,"https://boxd.it/855bzb",4,"Yes","","2024-12-16"
"2024-12-20","Nosferatu",1922,"https://boxd.it/8674Or",4.5,"Yes","","2024-12-18"
"2024-12-23","Black Christmas",1974,"https://boxd.it/88gmbX",4,"Yes","","2024-12-22"
"2024-12-24","Krampus",2015,"https://boxd.it/88ZZAd",4,"Yes","","2024-12-23"
"2024-12-28","The Red Shoes",1948,"https://boxd.it/8cnxwx",4,"","","2024-12-27"
"2025-01-05","Shrek",2001,"https://boxd.it/8jBfFR",4,"Yes","","2025-01-03"
"2025-01-05","The Battle of Algiers",1966,"https://boxd.it/8kfIzX",4,"","","2025-01-04"
"2025-01-09","The 400 Blows",1959,"https://boxd.it/8o1ruT",4,"","","2025-01-08"
"2025-01-11","A Ghost Story",2017,"https://boxd.it/8qjS9x",4,"","","2025-01-10"
"2025-01-13","Zero Dark Thirty",2012,"https://boxd.it/8srzkl",4,"","","2025-01-12"
